StartNode,EndNodeID,ContactWay
240,16838,groupmessage
20515,16860,groupmessage
240,16902,groupmessage
240,16905,groupmessage
8962,16933,groupmessage
2676,16943,groupmessage
16976,16977,groupmessage
4784,17277,groupmessage
246,17387,groupmessage
284,18224,groupmessage
14669,18418,groupmessage
8962,18424,groupmessage
6240,18711,groupmessage
18711,18712,groupmessage
20901,18855,groupmessage
11395,19181,groupmessage
2247,19240,groupmessage
8962,19351,groupmessage
7493,19373,groupmessage
11395,19375,groupmessage
8151,19524,groupmessage
17130,19860,groupmessage
8962,19876,groupmessage
3874,20125,groupmessage
240,20312,groupmessage
7148,20352,groupmessage
10486,20427,groupmessage
637,20440,groupmessage
5310,20480,groupmessage
1246,20571,groupmessage
1246,20573,groupmessage
1246,20591,groupmessage
8928,20596,groupmessage
16976,20603,groupmessage
1246,20653,groupmessage
4784,20664,groupmessage
1246,20679,groupmessage
1096,20688,groupmessage
240,20692,groupmessage
240,20693,groupmessage
1246,20697,groupmessage
637,20704,groupmessage
240,20705,groupmessage
11784,20710,groupmessage
1246,20713,groupmessage
20571,20714,groupmessage
20181,20718,groupmessage
1246,20720,groupmessage
1246,20724,groupmessage
240,20726,groupmessage
1246,20727,groupmessage
18711,20730,groupmessage
1246,20731,groupmessage
1246,20732,groupmessage
1246,20734,groupmessage
1246,20738,groupmessage
20181,20739,groupmessage
1246,20743,groupmessage
1246,20745,groupmessage
18711,20746,groupmessage
5052,20750,groupmessage
5052,20751,groupmessage
5052,20752,groupmessage
20751,20754,groupmessage
637,20756,groupmessage
5052,20758,groupmessage
16976,20759,groupmessage
240,20761,groupmessage
5052,20764,groupmessage
7148,20768,groupmessage
240,20769,groupmessage
240,20771,groupmessage
5052,20773,groupmessage
240,20776,groupmessage
240,20779,groupmessage
240,20785,groupmessage
637,20787,groupmessage
20181,20788,groupmessage
1612,20791,groupmessage
240,20794,groupmessage
10486,20811,groupmessage
5300,20812,groupmessage
20816,20817,groupmessage
7148,20821,groupmessage
8212,20824,groupmessage
4784,20827,groupmessage
16976,20832,groupmessage
8962,20835,groupmessage
16976,20839,groupmessage
17130,20842,groupmessage
17130,20847,groupmessage
637,20849,groupmessage
5311,20858,groupmessage
637,20859,groupmessage
637,20862,groupmessage
637,20863,groupmessage
10486,20866,groupmessage
240,20867,groupmessage
637,20869,groupmessage
637,20872,groupmessage
637,20874,groupmessage
637,20875,groupmessage
637,20876,groupmessage
637,20879,groupmessage
637,20880,groupmessage
637,20881,groupmessage
637,20882,groupmessage
5310,20883,groupmessage
240,20884,groupmessage
8962,20885,groupmessage
5310,20889,groupmessage
4784,20890,groupmessage
7948,20891,groupmessage
18855,20892,groupmessage
18855,20894,groupmessage
240,20895,groupmessage
20896,20897,groupmessage
18855,20899,groupmessage
18855,20900,groupmessage
20145,20902,groupmessage
4784,20905,groupmessage
240,20907,groupmessage
4784,20908,groupmessage
240,20909,groupmessage
240,20914,groupmessage
20916,20917,groupmessage
240,20920,groupmessage
16976,20927,groupmessage
7829,20929,groupmessage
2690,20931,groupmessage
8962,20932,groupmessage
4784,20940,groupmessage
240,20941,groupmessage
240,20944,groupmessage
16976,20946,groupmessage
4784,20947,groupmessage
240,20948,groupmessage
16976,20949,groupmessage
10440,20952,groupmessage
2216,20953,groupmessage
240,20954,groupmessage
240,20955,groupmessage
240,20967,groupmessage
240,20968,groupmessage
240,20970,groupmessage
8962,20972,groupmessage
6221,20974,groupmessage
8962,20983,groupmessage
20988,20989,groupmessage
4784,20992,groupmessage
13457,20994,groupmessage
16939,20995,groupmessage
4784,20997,groupmessage
8962,21002,groupmessage
4784,21003,groupmessage
2584,21004,groupmessage
4784,21005,groupmessage
4784,21006,groupmessage
2584,21007,groupmessage
4784,21010,groupmessage
4784,21011,groupmessage
4784,21013,groupmessage
16939,21015,groupmessage
14312,21016,groupmessage
16939,21017,groupmessage
16939,21018,groupmessage
246,21020,groupmessage
8962,21021,groupmessage
8962,21025,groupmessage
816,21029,groupmessage
77,21033,groupmessage
15339,21036,groupmessage
6571,21037,groupmessage
8151,21045,groupmessage
6240,21046,groupmessage
112,21047,groupmessage
6170,21048,groupmessage
2676,21049,groupmessage
2690,21050,groupmessage
1733,21062,groupmessage
8151,21070,groupmessage
6240,21074,groupmessage
15339,21078,groupmessage
15339,21079,groupmessage
8151,21082,groupmessage
15339,21083,groupmessage
1739,21086,groupmessage
18711,21091,groupmessage
8151,21093,groupmessage
6170,21103,groupmessage
8151,21106,groupmessage
6170,21108,groupmessage
284,21111,groupmessage
240,21573,groupmessage
21197,21623,groupmessage
284,21652,groupmessage
226,227,singlemessage
332,333,singlemessage
3339,1739,singlemessage
18388,3158,singlemessage
7148,4866,singlemessage
637,4990,singlemessage
5202,6458,singlemessage
186,6824,singlemessage
6867,6868,singlemessage
6236,6960,singlemessage
6298,7971,singlemessage
6221,8039,singlemessage
9886,9748,singlemessage
240,9886,singlemessage
20466,10058,singlemessage
21077,10129,singlemessage
10148,10149,singlemessage
8962,10664,singlemessage
10664,10665,singlemessage
10733,13031,singlemessage
10486,13331,singlemessage
7080,16818,singlemessage
6298,16898,singlemessage
6867,17614,singlemessage
226,17837,singlemessage
21040,19228,singlemessage
20840,19518,singlemessage
19636,19637,singlemessage
1246,19741,singlemessage
20181,20466,singlemessage
5202,20478,singlemessage
9886,20701,singlemessage
1246,20741,singlemessage
13141,20748,singlemessage
1520,20755,singlemessage
20761,20762,singlemessage
4784,20765,singlemessage
226,20770,singlemessage
7493,20774,singlemessage
6867,20782,singlemessage
5310,20784,singlemessage
3158,20804,singlemessage
20806,20807,singlemessage
16609,20813,singlemessage
10058,20818,singlemessage
14260,20820,singlemessage
20825,20826,singlemessage
4866,20836,singlemessage
12015,20838,singlemessage
1332,20841,singlemessage
20855,20856,singlemessage
20145,20903,singlemessage
16976,20911,singlemessage
6103,20918,singlemessage
2584,20919,singlemessage
20937,20938,singlemessage
14189,20962,singlemessage
19636,20963,singlemessage
6298,20975,singlemessage
10664,20985,singlemessage
231,20990,singlemessage
20990,20991,singlemessage
7048,21014,singlemessage
7689,21023,singlemessage
12015,21024,singlemessage
7048,21026,singlemessage
186,21027,singlemessage
1332,21042,singlemessage
4218,21043,singlemessage
10317,21060,singlemessage
122,21061,singlemessage
15339,21063,singlemessage
246,21098,singlemessage
246,21102,singlemessage
20613,21112,singlemessage
21113,21114,singlemessage
10344,21115,singlemessage
1520,48,timeline
48,49,timeline
1317,236,timeline
3921,1096,timeline
246,1124,timeline
5202,1184,timeline
20751,1246,timeline
547,1310,timeline
1520,1521,timeline
2216,2217,timeline
2612,2613,timeline
2584,3870,timeline
48,4097,timeline
5052,5053,timeline
5202,5203,timeline
246,5263,timeline
218,5300,timeline
2584,5967,timeline
48,5976,timeline
3339,6022,timeline
246,6597,timeline
547,6818,timeline
246,6829,timeline
3339,7390,timeline
246,7421,timeline
7886,7887,timeline
1520,8139,timeline
48,8214,timeline
16031,8792,timeline
1744,8814,timeline
824,8962,timeline
246,9036,timeline
6715,9081,timeline
0,9153,timeline
2584,9638,timeline
8173,9645,timeline
7191,9904,timeline
5202,10355,timeline
246,10607,timeline
16691,11508,timeline
2584,13671,timeline
246,15346,timeline
16031,16032,timeline
7023,16589,timeline
6149,16760,timeline
1332,16945,timeline
6149,17289,timeline
2612,17378,timeline
2442,17562,timeline
1733,17608,timeline
2584,18482,timeline
16031,19063,timeline
8280,19245,timeline
231,19626,timeline
246,19656,timeline
547,19808,timeline
48,20172,timeline
246,20438,timeline
246,20511,timeline
2584,20516,timeline
2584,20561,timeline
1948,20608,timeline
12230,20671,timeline
7191,20678,timeline
547,20680,timeline
5052,20682,timeline
20682,20683,timeline
7887,20684,timeline
3874,20689,timeline
547,20690,timeline
2584,20691,timeline
3921,20694,timeline
20749,20695,timeline
20695,20696,timeline
48,20698,timeline
20682,20703,timeline
5052,20708,timeline
1520,20709,timeline
16031,20711,timeline
20739,20722,timeline
20722,20723,timeline
5300,20740,timeline
16031,20742,timeline
48,20753,timeline
5052,20772,timeline
218,20775,timeline
20780,20781,timeline
48,20783,timeline
16031,20786,timeline
48,20795,timeline
2612,20797,timeline
218,20798,timeline
48,20799,timeline
48,20802,timeline
16031,20808,timeline
48,20809,timeline
218,20815,timeline
2612,20819,timeline
2612,20831,timeline
6149,20848,timeline
6149,20850,timeline
6149,20852,timeline
6715,20853,timeline
6149,20857,timeline
1612,20898,timeline
13671,20912,timeline
4784,20928,timeline
20933,20934,timeline
2584,20935,timeline
2584,20937,timeline
16691,20942,timeline
18482,20945,timeline
2584,20950,timeline
246,20951,timeline
17226,20957,timeline
2584,20958,timeline
234,20959,timeline
15865,20964,timeline
2584,20966,timeline
2584,20969,timeline
2584,20971,timeline
2584,20973,timeline
2584,20976,timeline
16691,20977,timeline
2584,20980,timeline
20981,20982,timeline
7887,20984,timeline
2584,20987,timeline
2584,20996,timeline
2584,20998,timeline
20557,21000,timeline
2584,21008,timeline
1317,21019,timeline
1332,21022,timeline
186,21028,timeline
21031,21032,timeline
246,21044,timeline
246,21053,timeline
8184,21056,timeline
4218,21057,timeline
4218,21058,timeline
11193,21067,timeline
2247,21068,timeline
77,21069,timeline
246,21071,timeline
246,21072,timeline
1332,21075,timeline
18,21084,timeline
246,21087,timeline
246,21092,timeline
770,21094,timeline
246,21099,timeline
246,21100,timeline
1332,21105,timeline
17498,21117,timeline
4784,124,groupmessage
236,237,groupmessage
96,286,groupmessage
637,385,groupmessage
385,386,groupmessage
910,911,groupmessage
1744,1077,groupmessage
1077,1078,groupmessage
1096,1268,groupmessage
246,1523,groupmessage
4796,1624,groupmessage
1096,2440,groupmessage
13365,2527,groupmessage
2527,2528,groupmessage
124,3510,groupmessage
20145,3700,groupmessage
1077,3724,groupmessage
6306,4399,groupmessage
3724,4539,groupmessage
236,4875,groupmessage
6306,5047,groupmessage
96,5820,groupmessage
1246,6070,groupmessage
1077,6205,groupmessage
6221,6222,groupmessage
5052,6226,groupmessage
6240,6241,groupmessage
1077,6263,groupmessage
6296,6297,groupmessage
6306,6307,groupmessage
547,6531,groupmessage
13457,6706,groupmessage
96,7018,groupmessage
1077,7062,groupmessage
96,7065,groupmessage
7106,7107,groupmessage
13457,7122,groupmessage
236,7143,groupmessage
240,7148,groupmessage
5052,7195,groupmessage
6306,7203,groupmessage
385,7297,groupmessage
7297,7298,groupmessage
5052,7347,groupmessage
7297,7696,groupmessage
236,8075,groupmessage
1077,8198,groupmessage
8198,8199,groupmessage
7063,8312,groupmessage
13457,8615,groupmessage
